CMDLINE /usr/bin/python3 train_singlegpu.py
MEM 1.109375 1717615269.6916
MEM 14.167969 1717615269.7921
MEM 21.085938 1717615269.8925
MEM 26.617188 1717615269.9930
MEM 32.312500 1717615270.0934
MEM 38.429688 1717615270.1939
MEM 40.683594 1717615270.2943
MEM 46.445312 1717615270.3947
MEM 54.089844 1717615270.4953
MEM 58.347656 1717615270.5959
MEM 63.308594 1717615270.6964
MEM 65.226562 1717615270.7970
MEM 70.898438 1717615270.8975
MEM 76.828125 1717615270.9980
MEM 82.242188 1717615271.0986
MEM 87.656250 1717615271.1991
MEM 93.328125 1717615271.2996
MEM 98.742188 1717615271.4001
MEM 104.671875 1717615271.5006
MEM 135.867188 1717615271.6011
MEM 117.457031 1717615271.7016
MEM 125.246094 1717615271.8022
MEM 125.503906 1717615271.9026
MEM 125.503906 1717615272.0029
MEM 127.074219 1717615272.1032
MEM 127.074219 1717615272.2036
MEM 73.593750 1717615272.3040
